start, end, subpop
2069103.0, 2071477.0, 0.262
2071477.0, 2078934.0, 0.263
2078934.0, 2080210.0, 0.282
2080210.0, 2080312.0, 0.282
2080312.0, 2099519.0, 0.282
2099519.0, 2103013.0, 0.282
2103013.0, 2110703.0, 0.2875
2110703.0, 2111106.0, 0.2875
2111106.0, 2120330.0, 0.2875
2120330.0, 2123491.0, 0.297
2123491.0, 2130611.0, 0.2935
2130611.0, 2130650.0, 0.2935
2130650.0, 2132774.0, 0.2935
2132774.0, 2140060.0, 0.2935
2140060.0, 2145679.0, 0.3275
2145679.0, 2149597.0, 0.3275
2149597.0, 2156506.0, 0.278
2156506.0, 2157992.0, 0.2725
2157992.0, 2163601.0, 0.2725
2163601.0, 2163739.0, 0.2725
2163739.0, 2169825.0, 0.2745
2169825.0, 2171920.0, 0.294
2171920.0, 2172172.0, 0.2935
2172172.0, 2178970.0, 0.2935
2178970.0, 2182244.0, 0.2935
2182244.0, 2189283.0, 0.295
2189283.0, 2193927.0, 0.295
2193927.0, 2194482.0, 0.295
2194482.0, 2200906.0, 0.295
2200906.0, 2208941.0, 0.295
2208941.0, 2210779.0, 0.277
2210779.0, 2212601.0, 0.277
2212601.0, 2215256.0, 0.277
2215256.0, 2221281.0, 0.277
2221281.0, 2222895.0, 0.2775
2222895.0, 2248961.0, 0.2775
2248961.0, 2249187.0, 0.2775
2249187.0, 2250064.0, 0.3865
2250064.0, 2266023.0, 0.3885
2266023.0, 2269698.0, 0.3885
2269698.0, 2269906.0, 0.387
2269906.0, 2271999.0, 0.3865
2271999.0, 2284031.0, 0.3735
2284031.0, 2285924.0, 0.3735
2285924.0, 2286994.0, 0.3735
2286994.0, 2291838.0, 0.3695
2291838.0, 2295923.0, 0.3695
2295923.0, 2296370.0, 0.3695
2296370.0, 2303787.0, 0.3695
2303787.0, 2304001.0, 0.3695
2304001.0, 2305873.0, 0.3695
2305873.0, 2307696.0, 0.3695
2307696.0, 2307789.0, 0.3695
2307789.0, 2331851.0, 0.3695
2331851.0, 2335567.0, 0.369
2335567.0, 2337554.0, 0.3655
2337554.0, 2364935.0, 0.3715
2364935.0, 2368242.0, 0.3735
2368242.0, 2373851.0, 0.3775
2373851.0, 2381964.0, 0.3775
2381964.0, 2389153.0, 0.3775
2389153.0, 2392084.0, 0.4265
2392084.0, 2400617.0, 0.4265
2400617.0, 2410377.0, 0.4285
2410377.0, 2418044.0, 0.4285
2418044.0, 2419214.0, 0.428
2419214.0, 2419255.0, 0.428
2419255.0, 2425870.0, 0.428
2425870.0, 2428557.0, 0.4235
2428557.0, 2435396.0, 0.426
2435396.0, 2443108.0, 0.4745
